index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene,b_c,b_e,b_b,b_a,b_d,se_b_c,se_b_e,se_b_b,se_b_a,se_b_d,q_c,q_e,q_b,q_a,q_d
3434,3435,C25E10.9a,0.14809020511761098,0.8099162353733309,-0.246984547071745,0.17076871916294797,4.97319041234172,0.43663602459203205,0.0186117415156595,0.0152573397557425,0.0251311916511713,0.0251311916511713,WBGene00023417,swm-1,-0.23400195223495898,0.713582828380232,1.258464068894,1.3292977176416299,0.7054909246365009,0.17076871916294797,0.17076871916294797,0.17076871916294797,0.17076871916294797,0.17076871916294797,0.706875943405433,0.000777426028712313,2.03975482481226e-11,9.040470145326981e-13,0.00272915638072812
5906,5907,C25E10.9b.1,0.29989099815763204,0.9492964743887259,-0.18510813995886602,0.178560820349827,5.251487617196201,1.9769962154148601,0.028643041128177,0.0144439957796469,0.0191829087178278,0.0191829087178278,WBGene00023417,swm-1,-0.27693694902778804,0.9223582822946501,1.35791838211243,1.4543577416752198,0.628243501076042,0.178560820349827,0.178560820349827,0.178560820349827,0.178560820349827,0.178560820349827,0.62729841091003,1.39139447719392e-05,3.7548493216077e-12,5.54179024947537e-14,0.0203845939094246
2996,2997,C31C9.2,0.123930316088876,0.770851516684635,-0.175881777815041,0.114321486004315,6.32445798767259,1.39636561290265,0.0037234969252645704,0.0158806063180875,0.00906678529865883,0.0158806063180875,WBGene00007836,C31C9.2,-0.291264280585214,2.46931177224219,2.78427255892793,2.6957457911368703,1.36923179815729,0.114321486004315,0.114321486004315,0.114321486004315,0.114321486004315,0.114321486004315,0.20776853117835198,1.6883594409328897e-99,3.214791122458439e-127,2.8613617342931494e-119,1.09499566443717e-29
1224,1225,C32H11.12,0.0273819211040211,0.41829004024749705,-0.7431524129055992,0.336873260133717,7.06284643716984,5.675903663479691,0.00499771087343896,0.16522767921624,0.007553575417391821,0.16522767921624,WBGene00007875,dod-24,0.386836361122983,1.2370736115421002,2.6272187548923798,2.3590346941550298,1.8474973470787501,0.336873260133717,0.336873260133717,0.336873260133717,0.336873260133717,0.336873260133717,0.7927528393842042,0.00448384170249682,8.712454873143309e-13,2.36875367019422e-10,6.86592790134728e-06
556,557,C33A12.12,0.00449672815400866,0.15084625773366597,0.8165292608163421,0.287405493580465,3.7215447440219105,0.37489340344403005,0.0307452322811693,0.0171308243616143,0.0931576443291771,0.0931576443291771,WBGene00007887,gadr-2,-0.17155612041722101,0.8130757759238921,0.948368503730883,1.03301268047031,0.990348697261902,0.287405493580465,0.287405493580465,0.287405493580465,0.287405493580465,0.287405493580465,0.942579604520078,0.0482799291720271,0.015367531664707,0.00556620513965832,0.0253080273506966
4660,4661,C33A12.7,0.22491433836720898,0.9016357889704592,0.13844677321797197,0.114082814150787,5.78246829725997,1.0801595378037199,0.0040416150203839,0.0154807177064607,0.012281495685423999,0.0154807177064607,WBGene00007886,ethe-1,-0.132237560088816,1.57660325945566,1.91981075069688,2.11691022857554,1.60715421972139,0.114082814150787,0.114082814150787,0.114082814150787,0.114082814150787,0.114082814150787,0.7893409927223,2.93670459244941e-40,2.1788145390210397e-60,1.3651647078839298e-73,1.69144358540958e-41
11494,11495,C34C12.7,0.85721380234019,1.0,0.0352989523466187,0.196190304948489,4.72693173064092,0.7448368649571371,0.0109112549825205,0.0468246986511513,0.0328703573357011,0.0468246986511513,WBGene00007926,C34C12.7,0.36553074490487397,1.4429920828779799,1.45366589741476,1.3600650868542798,0.691628292206422,0.196190304948489,0.196190304948489,0.196190304948489,0.196190304948489,0.196190304948489,0.476436725252218,4.4022060921451e-11,1.54861435408697e-11,3.7718942763095e-10,0.0199093977812838
5731,5732,C34H4.2,0.28968031151686796,0.9449351119535581,0.36606713648994393,0.34573018502166303,6.14181868046955,1.23691244814618,0.00270108402161323,0.17659295723105603,0.00986111518753204,0.17659295723105603,WBGene00016425,C34H4.2,0.742882588045418,1.7205462272188001,1.6139883803625898,1.3368153897176,1.04342871368813,0.34573018502166303,0.34573018502166303,0.34573018502166303,0.34573018502166303,0.34573018502166303,0.35375670855700503,3.19943433806188e-05,0.000104482238681318,0.0022781975216460896,0.0744172413856684
981,982,C49C3.1,0.0183471786541213,0.348849784441279,0.378965284508848,0.160678183300349,6.255247278993219,0.868613963517388,0.0021176381009124397,0.0366085797821383,0.009340408709639859,0.0366085797821383,WBGene00004908,snf-9,0.27752775115416495,0.9697056659755601,0.9742104471398949,0.781304802740216,0.6193939575726539,0.160678183300349,0.160678183300349,0.160678183300349,0.160678183300349,0.160678183300349,0.5386889279528111,1.53028324448654e-07,8.87766158406338e-08,4.3655982406862296e-05,0.00691224523723155
4701,4702,C49C3.9,0.22927281872924898,0.9057640935595171,0.170292594544395,0.14164677775970802,5.7930431993383005,0.7533989594326651,0.00310973547957817,0.0269859789949842,0.0121887726996212,0.0269859789949842,WBGene00008199,C49C3.9,0.40328945034065394,0.6272140866501271,0.44709820417727797,0.6721218559266939,0.519026089545488,0.14164677775970802,0.14164677775970802,0.14164677775970802,0.14164677775970802,0.14164677775970802,0.123390203802719,0.000305855747936292,0.0230265180750593,7.390641741419009e-05,0.0129845424742731
