GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
nhr-88,K08A2.5,K08A2.5b.1,"0,579252","0,758773","0,763406",-0.389477569408,,
nhr-88,K08A2.5,K08A2.5b.2,"0,596257","0,789989","0,754766",-0.405898659676,,
nhr-88,K08A2.5,K08A2.5c.1,"0,611641","0,79569","0,768693",-0.379520564073,,
nhr-88,K08A2.5,K08A2.5c.2,"0,64917","0,900849","0,72062",-0.472689402184,,
mek-1,K08A8.1,K08A8.1a,"1,60088","1,48573","1,077504",0.107693225017,,
mek-1,K08A8.1,K08A8.1b,"1,52988","1,58568","0,96481",-0.051683234420,,
sox-2,K08A8.2,K08A8.2a.1,"0,650265","1,18016","0,550997",-0.859883631076,,
sox-2,K08A8.2,K08A8.2a.2,"0,91353","1,47044","0,621263",-0.686723959336,,
sox-2,K08A8.2,K08A8.2b.1,"0,731526","1,59482","0,458689",-1.124411784886,,
sox-2,K08A8.2,K08A8.2b.2,"0,773548","1,32808","0,582456",-0.779779025343,,
sox-2,K08A8.2,K08A8.2b.3,"0,91353","1,47044","0,621263",-0.686723959336,,
coh-1,K08A8.3,K08A8.3,"0,397215","0,445848","0,89092",-0.166632203864,,
K08B12.1,K08B12.1,K08B12.1,"0,459612","0,053217","8,636645",3.110470990414,1,
K08B12.2,K08B12.2,K08B12.2a,"1,47387","1,2199","1,208189",0.272846156678,,
K08B12.2,K08B12.2,K08B12.2b,"1,49773","0,948556","1,578958",0.658972796279,,
K08B12.3,K08B12.3,K08B12.3,"0,155727","0,105556","1,475302",0.561010309936,,
tag-59,K08B12.5,K08B12.5.1,"0,671538","0,682209","0,984358",-0.022744991830,,
tag-59,K08B12.5,K08B12.5.2,"0,646265","0,695457","0,929267",-0.105834918912,,
lag-1,K08B4.1,K08B4.1a,"0,789428","0,716086","1,102421",0.140675275291,,
lag-1,K08B4.1,K08B4.1b,"0,823808","0,789358","1,043643",0.061628292166,,
K08B4.2,K08B4.2,K08B4.2,"0,09393","0,076571","1,226696",0.294777764378,,
ugt-19,K08B4.3,K08B4.3,"0,154645","0,02814","5,495597",2.458276213141,1,
ugt-20,K08B4.4,K08B4.4,"0,040875","0,026298","1,554328",0.636290978676,,
K08B4.5,K08B4.5,K08B4.5,0,"0,000256",0,,,
cpi-1,K08B4.6,K08B4.6,"24,9296","52,9795","0,470552",-1.087573933046,,
K08B4.7,K08B4.7,K08B4.7,"0,246085","0,121343","2,028012",1.020066188973,,
K08B5.1,K08B5.1,K08B5.1,"0,058769","0,022859","2,570908",1.362277984221,,
K08B5.2,K08B5.2,K08B5.2,"0,155152","0,12454","1,245801",0.317073635584,,
K08C7.1,K08C7.1,K08C7.1,"0,141997","0,073918","1,921015",0.941868784147,,
fmo-1,K08C7.2,K08C7.2.1,"0,38779","0,337848","1,147824",0.198901445330,,
fmo-1,K08C7.2,K08C7.2.2,"0,395601","0,336957","1,17404",0.231481562467,,
fmo-1,K08C7.2,K08C7.2.3,"0,423973","0,346105","1,224984",0.292762905741,,
epi-1,K08C7.3,K08C7.3a,"0,206299","0,309267","0,667058",-0.584115887189,,
epi-1,K08C7.3,K08C7.3b,"0,2082","0,311075","0,669292",-0.579292324913,,
K08C7.4,K08C7.4,K08C7.4,"0,006704","0,037364","0,179421",-2.478579337168,,1
fmo-2,K08C7.5,K08C7.5,"0,019003","1,48604","0,012788",-6.289065540544,,1
K08C7.6,K08C7.6,K08C7.6,"0,499874","0,494236","1,011408",0.016365095002,,
K08C7.7,K08C7.7,K08C7.7,"0,0213","0,023558","0,904131",-0.145396274284,,
K08C9.1,K08C9.1,K08C9.1,0,"0,001549",0,,,
K08C9.2,K08C9.2,K08C9.2,"0,016862","0,012399","1,359984",0.443589678493,,
col-65,K08C9.4,K08C9.4,"0,962955","0,179574","5,362441",2.422889869516,1,
K08C9.5,K08C9.5,K08C9.5,0,0,,,,
K08C9.6,K08C9.6,K08C9.6,"0,014471","0,021608","0,669712",-0.578387276180,,
K08C9.7,K08C9.7,K08C9.7,"0,003735","0,007274","0,513449",-0.961707111627,,
K08D10.1,K08D10.1,K08D10.1,nan,nan,,,,
K08D10.10,K08D10.10,K08D10.10,"0,049307","0,053295","0,925169",-0.112211169051,,
K08D10.11,K08D10.11,K08D10.11,0,0,,,,
K08D10.12,K08D10.12,K08D10.12.1,"0,422192","0,69175","0,610325",-0.712350407905,,
K08D10.12,K08D10.12,K08D10.12.2,"0,344769","0,498332","0,691846",-0.531477154947,,
dnj-15,K08D10.2,K08D10.2,"0,804017","0,584429","1,375731",0.460198403975,,
rnp-3,K08D10.3,K08D10.3,"1,37466","1,11422","1,233742",0.303040729790,,
rnp-2,K08D10.4,K08D10.4,"1,29056","1,36642","0,944483",-0.082403265491,,
K08D10.5,K08D10.5,K08D10.5,0,"0,000803",0,,,
K08D10.7,K08D10.7,K08D10.7,0,0,,,,
K08D10.8,K08D10.8,K08D10.8.1,0,"0,017077",0,,,
K08D10.8,K08D10.8,K08D10.8.2,0,"0,016793",0,,,
K08D10.9,K08D10.9,K08D10.9,"0,006047","0,00471","1,284048",0.360699133977,,
pbs-1,K08D12.1,K08D12.1,"3,90868","4,122","0,948248",-0.076663671229,,
K08D12.2,K08D12.2,K08D12.2,"0,029698","0,05187","0,572559",-0.804503729850,,
K08D12.3,K08D12.3,K08D12.3a.1,"8,76411","7,65225","1,145298",0.195723028179,,
K08D12.3,K08D12.3,K08D12.3a.2,"7,88157","7,37809","1,06824",0.095235811737,,
K08D12.3,K08D12.3,K08D12.3b,"5,59937","6,55643","0,854027",-0.227646413624,,
K08D12.4,K08D12.4,K08D12.4,"0,013703","0,091238","0,150186",-2.735177760543,,1
K08D12.5,K08D12.5,K08D12.5,"0,002354","0,00479","0,491481",-1.024792449910,,
K08D12.6,K08D12.6,K08D12.6.1,"3,73804","2,91599","1,281911",0.358296102584,,
K08D12.6,K08D12.6,K08D12.6.2,"2,54608","2,58516","0,984883",-0.021975746304,,
K08D12.7,K08D12.7,K08D12.7,0,"0,039331",0,,,
K08D8.1,K08D8.1,K08D8.1,"2,35044","0,633896","3,707927",1.890612841112,1,
K08D8.2,K08D8.2,K08D8.2,"0,004848","0,003684","1,315682",0.395810832187,,
K08D8.3,K08D8.3,K08D8.3,"0,165359","0,041242","4,009481",2.003415501721,1,
K08D8.4,K08D8.4,K08D8.4a,"1,45332","0,021447","67,764587",6.082459629212,1,
K08D8.4,K08D8.4,K08D8.4b,"1,48375","0,021882","67,807183",6.083366204968,1,
K08D8.4,K08D8.4,K08D8.4c,"1,25636","0,018553","67,71735",6.081453611880,1,
K08D8.4,K08D8.4,K08D8.4d,"1,31832","0,021339","61,780998",5.949091271098,1,
K08D8.5,K08D8.5,K08D8.5,"6,41947","0,106774","60,122033",5.909821889062,1,
K08D8.6,K08D8.6,K08D8.6,"3,21891","0,463144","6,950128",2.797039548090,1,
K08D9.1,K08D9.1,K08D9.1,0,"0,001974",0,,,
K08D9.2,K08D9.2,K08D9.2,0,0,,,,
apx-1,K08D9.3,K08D9.3,"0,641682","0,937398","0,684535",-0.546803787100,,
K08D9.4,K08D9.4,K08D9.4,"0,025184","0,020793","1,211173",0.276404949604,,
K08D9.5,K08D9.5,K08D9.5,0,0,,,,
K08D9.6,K08D9.6,K08D9.6,"0,000974",0,,,,
tyr-2,K08E3.1,K08E3.1,"0,413232","0,242738","1,702379",0.767552259439,,
K08E3.10,K08E3.10,K08E3.10,"3,11321","4,85145","0,641707",-0.640013374075,,
K08E3.2,K08E3.2,K08E3.2,0,0,,,,
toca-2,K08E3.3,K08E3.3a,"0,479551","0,475557","1,008399",0.012066592631,,
toca-2,K08E3.3,K08E3.3b,"0,497223","0,497316","0,999813",-0.000269809201,,
K08E3.4,K08E3.4,K08E3.4,"1,05507","1,30766","0,806838",-0.309649062101,,
K08E3.5,K08E3.5,K08E3.5a.1,"3,88953","3,55543","1,093969",0.129571856796,,
K08E3.5,K08E3.5,K08E3.5a.2,"3,90706","3,2155","1,215071",0.281040617004,,
K08E3.5,K08E3.5,K08E3.5a.3,"3,90335","3,22044","1,212055",0.277455166160,,
K08E3.5,K08E3.5,K08E3.5b,"3,93345","3,56113","1,104551",0.143460033223,,
K08E3.5,K08E3.5,K08E3.5c,"3,89906","3,22798","1,207895",0.272495049395,,
K08E3.5,K08E3.5,K08E3.5d,"3,9569","3,53197","1,12031",0.163897994408,,
K08E3.5,K08E3.5,K08E3.5e,"3,90411","3,56382","1,095485",0.131569730267,,
K08E3.5,K08E3.5,K08E3.5f,"3,63849","3,0807","1,181059",0.240081036607,,
cyk-4,K08E3.6,K08E3.6.1,"1,99992","2,22174","0,900159",-0.151748239833,,
cyk-4,K08E3.6,K08E3.6.2,"2,08863","2,31172","0,903496",-0.146409880951,,
pdr-1,K08E3.7,K08E3.7.1,"0,939215","0,848903","1,106387",0.145856110096,,
pdr-1,K08E3.7,K08E3.7.2,"0,905466","0,766091","1,18193",0.241144594193,,
mdt-29,K08E3.8,K08E3.8.1,"0,845516","0,727863","1,161642",0.216165521064,,
mdt-29,K08E3.8,K08E3.8.2,"0,887232","0,824","1,076738",0.106667245161,,
spt-5,K08E4.1,K08E4.1,"1,28568","1,32718","0,968731",-0.045831985329,,
K08E4.2,K08E4.2,K08E4.2,"1,37275","0,598474","2,29375",1.197708157956,,
K08E4.3,K08E4.3,K08E4.3,"0,848621","0,545633","1,555296",0.637189176557,,
K08E4.4,K08E4.4,K08E4.4,0,0,,,,
bath-37,K08E4.5,K08E4.5,0,"0,001973",0,,,
K08E4.6,K08E4.6,K08E4.6,"1,45492","0,993888","1,463867",0.549784483160,,
K08E4.7,K08E4.7,K08E4.7,"0,004633","0,006895","0,671891",-0.573700889434,,
nac-3,K08E5.2,K08E5.2a,"0,115523","0,099357","1,162704",0.217483863720,,
nac-3,K08E5.2,K08E5.2b.1,"0,085749","0,086263","0,994046",-0.008615480085,,
nac-3,K08E5.2,K08E5.2b.2,"0,089216","0,080967","1,101873",0.139957950925,,
nac-3,K08E5.2,K08E5.2b.3,"0,115523","0,099357","1,162704",0.217483863720,,
mua-3,K08E5.3,K08E5.3a,"0,350372","0,077947","4,494986",2.168316622356,1,
mua-3,K08E5.3,K08E5.3b,"0,410671","0,090529","4,536332",2.181526230497,1,
K08E7.1,K08E7.1,K08E7.1,"1,0063","0,792763","1,269358",0.344099013218,,
hsb-1,K08E7.2,K08E7.2.1,"1,60738","1,74837","0,919359",-0.121299766144,,
hsb-1,K08E7.2,K08E7.2.2,"3,79317","6,2071","0,611102",-0.710514892237,,
let-99,K08E7.3,K08E7.3,"0,47137","0,426942","1,104061",0.142819884042,,
K08E7.4,K08E7.4,K08E7.4,"0,003275","0,011951","0,274056",-1.867457374448,,1
K08E7.5,K08E7.5,K08E7.5a,"0,114433","0,01021","11,207494",3.486391821921,1,
K08E7.5,K08E7.5,K08E7.5b,"0,160696","0,016582","9,691224",3.276678889295,1,
K08E7.5,K08E7.5,K08E7.5c,"0,153551","0,011784","13,030354",3.703804373506,1,
K08E7.5,K08E7.5,K08E7.5d,"0,171281","0,014814","11,561869",3.531302726210,1,
K08E7.6,K08E7.6,K08E7.6,"0,065381","0,032569","2,007461",1.005371960020,,
cul-6,K08E7.7,K08E7.7,"0,139326","0,052005","2,679073",1.421733892604,1,
K08E7.8,K08E7.8,K08E7.8a,"0,115278","0,044989","2,562388",1.357488946910,,
K08E7.8,K08E7.8,K08E7.8b,"0,088005","0,057835","1,521656",0.605642246366,,
pgp-1,K08E7.9,K08E7.9,"0,259181","0,066091","3,921596",1.971440917779,1,
K08F11.1,K08F11.1,K08F11.1,"0,016188","0,089288","0,1813",-2.463549169805,,1
K08F11.2,K08F11.2,K08F11.2,nan,nan,,,,
K08F11.3,K08F11.3,K08F11.3.1,"2,7091","2,1138","1,281626",0.357975320720,,
K08F11.3,K08F11.3,K08F11.3.2,"3,07947","2,96384","1,039014",0.055215093698,,
K08F11.3,K08F11.3,K08F11.3.3,"3,20096","3,18314","1,005598",0.008053685546,,
K08F11.3,K08F11.3,K08F11.3.4,"2,76257","2,15547","1,281656",0.358009090591,,
yrs-1,K08F11.4,K08F11.4a,"0,41485","0,342161","1,212441",0.277914544348,,
yrs-1,K08F11.4,K08F11.4b,"0,410182","0,329094","1,246398",0.317764823531,,
K08F11.5,K08F11.5,K08F11.5.1,"0,660271","0,506166","1,304455",0.383447176124,,
K08F11.5,K08F11.5,K08F11.5.2,"0,681825","0,524138","1,30085",0.379454615605,,
K08F4.1,K08F4.1,K08F4.1.1,"0,757006","0,588892","1,285475",0.362301552819,,
K08F4.1,K08F4.1,K08F4.1.2,"0,766834","0,591509","1,296403",0.374514264306,,
gst-3,K08F4.11,K08F4.11.1,"0,016405","0,021252","0,771939",-0.373441247231,,
gst-3,K08F4.11,K08F4.11.2,"0,019384","0,015623","1,240771",0.311236872398,,
K08F4.12,K08F4.12,K08F4.12,"0,028581","0,11095","0,257605",-1.956767499085,,1
K08F4.2,K08F4.2,K08F4.2,"5,3414","3,5106","1,521506",0.605500023076,,
K08F4.3,K08F4.3,K08F4.3,"5,35553","3,43803","1,557732",0.639447046282,,
glt-3,K08F4.4,K08F4.4,"0,057926","0,051923","1,115615",0.157839237364,,
K08F4.5,K08F4.5,K08F4.5,"0,00471","0,006411","0,734665",-0.444841549717,,
gst-2,K08F4.6,K08F4.6,0,"0,007973",0,,,
gst-4,K08F4.7,K08F4.7,"0,469611","0,113334","4,143602",2.050885436374,1,
msp-38,K08F4.8,K08F4.8,"0,041888","0,053335","0,78537",-0.348555604698,,
dhs-12,K08F4.9,K08F4.9,"1,90929","2,32258","0,822056",-0.282691418535,,
K08F8.1,K08F8.1,K08F8.1a.1,"1,63686","2,58391","0,633482",-0.658624468228,,
K08F8.1,K08F8.1,K08F8.1a.2,"1,55244","2,44447","0,635082",-0.654985214253,,
K08F8.1,K08F8.1,K08F8.1a.3,"1,63416","2,58666","0,631765",-0.662540081394,,
K08F8.1,K08F8.1,K08F8.1a.4,"1,47962","2,32186","0,637256",-0.650055043071,,
K08F8.1,K08F8.1,K08F8.1b.1,"1,54116","2,3351","0,659997",-0.599468628136,,
K08F8.1,K08F8.1,K08F8.1b.2,"1,65668","2,53688","0,653038",-0.614761150870,,
K08F8.1,K08F8.1,K08F8.1c.1,"1,47962","2,32186","0,637256",-0.650055043071,,
K08F8.1,K08F8.1,K08F8.1c.2,"1,47857","2,3194","0,63748",-0.649548014647,,
K08F8.1,K08F8.1,K08F8.1c.3,"1,20973","1,94935","0,620581",-0.688308567575,,
K08F8.1,K08F8.1,K08F8.1c.4,"1,21101","1,99453","0,607166",-0.719837089715,,
K08F8.1,K08F8.1,K08F8.1d.1,"1,32886","2,14661","0,619051",-0.691869825325,,
K08F8.1,K08F8.1,K08F8.1d.2,"1,262","2,04793","0,616232",-0.698454493583,,
K08F8.1,K08F8.1,K08F8.1e.1,"1,1669","1,71009","0,682362",-0.551390788117,,
K08F8.1,K08F8.1,K08F8.1e.2,"1,26143","1,93235","0,652796",-0.615295877648,,
K08F8.1,K08F8.1,K08F8.1e.3,"1,57176","2,32467","0,676122",-0.564644503832,,
K08F8.1,K08F8.1,K08F8.1e.4,"1,57036","2,32112","0,676553",-0.563725138007,,
K08F8.1,K08F8.1,K08F8.1e.5,"1,16837","1,70801","0,684053",-0.547819986333,,
K08F8.1,K08F8.1,K08F8.1e.6,"1,17487","1,80585","0,650591",-0.620177230002,,
atf-2,K08F8.2,K08F8.2,"0,407722","0,170518","2,391079",1.257661796727,,
fut-1,K08F8.3,K08F8.3.1,"0,439542","0,129532","3,393308",1.762692384928,1,
fut-1,K08F8.3,K08F8.3.2,"0,347065","0,116303","2,984145",1.577317638039,1,
pah-1,K08F8.4,K08F8.4.1,"3,75012","1,27905","2,931957",1.551863945101,1,
pah-1,K08F8.4,K08F8.4.2,"3,70961","1,21383","3,05612",1.611701192590,1,
K08F8.5,K08F8.5,K08F8.5a,"0,017703","0,001749","10,121087",3.339292338012,1,
K08F8.5,K08F8.5,K08F8.5b,"0,020462","0,002022","10,121083",3.339291767838,1,
let-19,K08F8.6,K08F8.6,"0,380761","0,334236","1,139198",0.188018518593,,
K08F8.7,K08F8.7,K08F8.7,"0,064442","0,014464","4,455286",2.155518046234,1,
K08F9.1,K08F9.1,K08F9.1,"0,111368","0,08024","1,387943",0.472948320578,,
tag-216,K08F9.2,K08F9.2.1,"1,33258","1,29458","1,029353",0.041737816067,,
tag-216,K08F9.2,K08F9.2.2,"1,34564","1,30403","1,031909",0.045315750764,,
tag-216,K08F9.2,K08F9.2.3,"1,38181","1,31185","1,053329",0.074956122531,,
K08F9.3,K08F9.3,K08F9.3,"0,022357","0,037271","0,599855",-0.737314287603,,
K08F9.4,K08F9.4,K08F9.4,"0,847398","0,504614","1,679299",0.747859125696,,
srh-147,K08G2.12,K08G2.12,0,0,,,,
srh-149,K08G2.13,K08G2.13,0,0,,,,
srh-148,K08G2.5,K08G2.5,0,0,,,,
srz-12,K08G2.7,K08G2.7,0,"0,000371",0,,,
srh-293,K08G2.8,K08G2.8,0,0,,,,
srh-299,K08G2.9,K08G2.9,0,0,,,,
lea-1,K08H10.1,K08H10.1.1,"10,077","11,1812","0,901245",-0.150008744412,,
lea-1,K08H10.1,K08H10.1.2,"10,2703","11,0549","0,929027",-0.106207569108,,
K08H10.2,K08H10.2,K08H10.2a.1,"1,06568","0,962506","1,107193",0.146906726973,,
K08H10.2,K08H10.2,K08H10.2a.2,"1,28904","1,56907","0,821531",-0.283613079417,,
K08H10.2,K08H10.2,K08H10.2b,"1,00596","0,986571","1,019653",0.028078269499,,
K08H10.3,K08H10.3,K08H10.3a,"0,869761","0,83122","1,046367",0.065388947394,,
K08H10.3,K08H10.3,K08H10.3b,"0,814567","0,790076","1,030998",0.044041534071,,
uda-1,K08H10.4,K08H10.4.1,"1,25094","1,30762","0,956654",-0.063930865832,,
uda-1,K08H10.4,K08H10.4.2,"1,12311","1,06761","1,051985",0.073114133737,,
K08H10.6,K08H10.6,K08H10.6,"0,004739","0,001201","3,944526",1.979851946998,1,
rde-1,K08H10.7,K08H10.7,"0,531006","0,32829","1,617491",0.693757684835,,
K08H10.9,K08H10.9,K08H10.9,"1,25974","0,407229","3,093444",1.629213917367,1,
skr-21,K08H2.1,K08H2.1,"0,201498","0,441418","0,456479",-1.131379603337,,
K08H2.2,K08H2.2,K08H2.2,"0,053518","0,030182","1,773142",0.826308077406,,
K08H2.3,K08H2.3,K08H2.3,"0,230357","0,102081","2,25661",1.174157105422,,
K08H2.4,K08H2.4,K08H2.4,"0,087536","0,219124","0,399481",-1.323801207147,,
K08H2.5,K08H2.5,K08H2.5,0,"0,00041",0,,,
hpl-1,K08H2.6,K08H2.6,"0,296786","0,346867","0,855619",-0.224959575333,,
K08H2.7,K08H2.7,K08H2.7,"0,021688","0,030472","0,711739",-0.490579803749,,
nhr-32,K08H2.8,K08H2.8,"0,239544","0,222449","1,076849",0.106815963694,,
K08H2.9,K08H2.9,K08H2.9,"0,01953","0,023231","0,840675",-0.250379924025,,
K09A11.1,K09A11.1,K09A11.1,"0,115246","0,058017","1,986418",0.990169239721,,
cyp-14A1,K09A11.2,K09A11.2,"0,002447","0,005273","0,463929",-1.108024063641,,
cyp-14A2,K09A11.3,K09A11.3,"0,021535","0,007438","2,895158",1.533642083826,1,
cyp-14A3,K09A11.4,K09A11.4,"0,000392","0,001462","0,267932",-1.900061197603,,1
K09A11.5,K09A11.5,K09A11.5,"0,002469","0,011041","0,223588",-2.161085334278,,1
K09A9.1,K09A9.1,K09A9.1,"0,83509","0,522425","1,598488",0.676707913712,,
rab-14,K09A9.2,K09A9.2.1,"1,03695","0,898966","1,153492",0.206007998299,,
rab-14,K09A9.2,K09A9.2.2,"0,741541","1,10642","0,670217",-0.577299814038,,
ent-2,K09A9.3,K09A9.3.1,"0,96209","1,11723","0,861139",-0.215681967108,,
ent-2,K09A9.3,K09A9.3.2,"1,13038","1,32223","0,854904",-0.226165670795,,
K09A9.4,K09A9.4,K09A9.4.1,"0,383055","0,236156","1,622042",0.697811176156,,
K09A9.4,K09A9.4,K09A9.4.2,"0,406503","0,248185","1,637903",0.711849920127,,
gas-1,K09A9.5,K09A9.5.1,"2,79407","2,17515","1,284541",0.361252938937,,
gas-1,K09A9.5,K09A9.5.2,"2,9412","2,32202","1,266656",0.341024768773,,
K09A9.6,K09A9.6,K09A9.6,"0,111233","0,086712","1,28279",0.359285012395,,
pik-1,K09B11.1,K09B11.1,"0,187197","0,109234","1,713725",0.777135619971,,
K09B11.10,K09B11.10,K09B11.10,"0,03435","0,003901","8,805377",3.138384774004,1,
K09B11.2,K09B11.2,K09B11.2,"0,237185","0,207571","1,142669",0.192407554720,,
K09B11.3,K09B11.3,K09B11.3,0,0,,,,
K09B11.4,K09B11.4,K09B11.4,"0,006904","0,003907","1,767269",0.821521652470,,
K09B11.5,K09B11.5,K09B11.5a,0,0,,,,
K09B11.5,K09B11.5,K09B11.5b,0,0,,,,
K09B11.9,K09B11.9,K09B11.9a,"0,342794","0,290876","1,178488",0.236937068364,,
K09B11.9,K09B11.9,K09B11.9b,"0,335756","0,243057","1,381388",0.466118596248,,
K09B3.1,K09B3.1,K09B3.1,"0,040855","0,005852","6,981976",2.803635397747,1,
K09C4.10,K09C4.10,K09C4.10,"0,148399","0,080235","1,849564",0.887185222541,,
K09C4.1,K09C4.1,K09C4.1a,"0,193262","0,111588","1,731925",0.792376456352,,
K09C4.1,K09C4.1,K09C4.1b,"0,189067","0,176133","1,073433",0.102232145939,,
K09C4.2,K09C4.2,K09C4.2,0,0,,,,
K09C4.4,K09C4.4,K09C4.4,"0,004369","0,034544","0,126471",-2.983121484297,,1
K09C4.5,K09C4.5,K09C4.5,"0,283983","0,023663","12,001192",3.585105801311,1,
K09C4.6,K09C4.6,K09C4.6,0,"0,004993",0,,,
K09C4.7,K09C4.7,K09C4.7,0,"0,000664",0,,,
sul-1,K09C4.8,K09C4.8,"0,009281","0,014034","0,661346",-0.596522842997,,
K09C4.9,K09C4.9,K09C4.9,0,"0,000682",0,,,
K09C6.1,K09C6.1,K09C6.1,0,0,,,,
K09C6.10,K09C6.10,K09C6.10,0,0,,,,
K09C6.2,K09C6.2,K09C6.2,0,0,,,,
K09C6.3,K09C6.3,K09C6.3,0,"0,004048",0,,,
srbc-12,K09C6.4,K09C6.4,0,0,,,,
srbc-13,K09C6.5,K09C6.5,0,0,,,,
K09C6.6,K09C6.6,K09C6.6,0,0,,,,
K09C6.7,K09C6.7,K09C6.7,"0,003815","0,000598","6,380415",2.673650263954,1,
K09C6.8,K09C6.8,K09C6.8,0,0,,,,
K09C6.9,K09C6.9,K09C6.9,"0,060182","0,025457","2,364049",1.241259938783,,
pbo-4,K09C8.1,K09C8.1,"1,02946","0,249725","4,122375",2.043475748456,1,
K09C8.2,K09C8.2,K09C8.2,"0,00005","0,003799","0,013051",-6.259695835871,,1
nas-10,K09C8.3,K09C8.3,"0,007063","0,006935","1,018481",0.026419066743,,
lge-1,K09C8.4,K09C8.4,"0,014364","0,005465","2,628106",1.394023465383,1,
pxn-2,K09C8.5,K09C8.5,"0,035732","0,03551","1,00624",0.008974445814,,
nlp-19,K09C8.6,K09C8.6,"0,049274","0,083439","0,590537",-0.759900640609,,
K09C8.7,K09C8.7,K09C8.7,"0,421461","0,181661","2,320041",1.214150301031,,
K09C8.8,K09C8.8,K09C8.8,"0,007394","0,004377","1,689216",0.756353817307,,
K09D9.1,K09D9.1,K09D9.1,"0,310859","0,13757","2,259642",1.176094221430,,
srx-62,K09D9.10,K09D9.10,0,0,,,,
K09D9.11,K09D9.11,K09D9.11,0,"0,006792",0,,,
K09D9.12,K09D9.12,K09D9.12,"0,007771","0,016566","0,469085",-1.092078726587,,
srw-89,K09D9.13,K09D9.13,"0,008984","0,003177","2,827654",1.499605598569,1,
cyp-35A3,K09D9.2,K09D9.2,"0,007832","0,000898","8,720434",3.124399937074,1,
K09D9.3,K09D9.3,K09D9.3,0,"0,000412",0,,,
srh-4,K09D9.6,K09D9.6,0,0,,,,
srh-7,K09D9.7,K09D9.7,0,0,,,,
srh-8,K09D9.8,K09D9.8,0,"0,002834",0,,,
K09D9.9,K09D9.9,K09D9.9,0,0,,,,
K09E10.1,K09E10.1,K09E10.1,"0,017789","0,033844","0,525624",-0.927896944245,,
K09E10.2,K09E10.2,K09E10.2,"0,052273","0,000323","161,774691",7.337842111357,1,
K09E2.1,K09E2.1,K09E2.1,0,"0,001061",0,,,
K09E2.2,K09E2.2,K09E2.2,"0,002545","0,002539","1,002253",0.003246735851,,
K09E2.3,K09E2.3,K09E2.3,"0,736964","0,699238","1,053953",0.075810532840,,
rig-1,K09E2.4,K09E2.4a,"0,154923","0,125973","1,229811",0.298436616122,,
rig-1,K09E2.4,K09E2.4b,"0,403059","0,294181","1,370105",0.454286460467,,
K09E3.1,K09E3.1,K09E3.1,0,"0,00029",0,,,
K09E3.2,K09E3.2,K09E3.2,0,"0,001544",0,,,
K09E3.4,K09E3.4,K09E3.4,0,0,,,,
K09E3.5,K09E3.5,K09E3.5,"0,086747","0,088772","0,977185",-0.033296376792,,
K09E3.6,K09E3.6,K09E3.6,"0,027781","0,035974","0,77225",-0.372860129034,,
K09E3.7,K09E3.7,K09E3.7,"0,134508","0,095918","1,402323",0.487818686601,,
K09E4.1,K09E4.1,K09E4.1,"0,006327","0,023852","0,265274",-1.914444813626,,1
K09E4.2,K09E4.2,K09E4.2,"0,406626","0,472228","0,86108",-0.215780815173,,
K09E4.3,K09E4.3,K09E4.3,"0,472092","0,438992","1,0754",0.104873376726,,
K09E4.4,K09E4.4,K09E4.4.1,"0,030599","0,025301","1,209382",0.274270011716,,
K09E4.4,K09E4.4,K09E4.4.2,"0,031071","0,025819","1,203419",0.267139039834,,
gur-4,K09E4.5,K09E4.5,"0,014031","0,0163","0,860831",-0.216198062136,,
cpg-7,K09E4.6,K09E4.6,"1,32503","2,22633","0,595163",-0.748643254893,,
K09E9.1,K09E9.1,K09E9.1.1,"0,319478","0,105057","3,040997",1.604544393124,1,
K09E9.1,K09E9.1,K09E9.1.2,"0,29517","0,098541","2,995403",1.582750115531,1,
K09E9.1,K09E9.1,K09E9.1.3,"0,33963","0,10889","3,119019",1.641092341145,1,
K09E9.1,K09E9.1,K09E9.1.4,"0,28522","0,095341","2,991565",1.580900409862,1,
erv-46,K09E9.2,K09E9.2.1,"0,479452","0,245441","1,953431",0.966010296875,,
erv-46,K09E9.2,K09E9.2.2,"0,701141","0,346793","2,021785",1.015629586793,,
K09E9.3,K09E9.3,K09E9.3,"0,472974","0,330641","1,430476",0.516495292858,,
K09E9.4,K09E9.4,K09E9.4,"0,243489","0,325786","0,747389",-0.420068764460,,
K09F5.1,K09F5.1,K09F5.1,0,0,,,,
vit-1,K09F5.2,K09F5.2,"4,69693","0,306633","15,317758",3.937133246003,1,
spp-14,K09F5.3,K09F5.3.1,"74,144","226,81","0,326899",-1.613083131050,,1
spp-14,K09F5.3,K09F5.3.2,"74,5307","227,391","0,327765",-1.609266288718,,1
spp-14,K09F5.3,K09F5.3.3,"75,2643","229,494","0,327958",-1.608417027213,,1
K09F5.4,K09F5.4,K09F5.4,0,"0,000505",0,,,
K09F5.5,K09F5.5,K09F5.5,"0,088421","0,060792","1,454476",0.540499491030,,
K09F5.6,K09F5.6,K09F5.6,"0,212698","0,169658","1,253687",0.326177204669,,
K09F6.10,K09F6.10,K09F6.10,"0,230371","0,281594","0,818096",-0.289657947811,,
K09F6.11,K09F6.11,K09F6.11,"0,229133","0,147479","1,553665",0.635675464531,,
