GenePublicName,SequenceNameGene,SequenceNameTranscript,EF,OP50,Ratio_EFvsOP50,log2_Ratio_EFvsOP50,Infection_upregulated,Infection_downregulated
daf-7,B0412.2,B0412.2,"0,499663","0,030587",16.335796253310,4.02996487245,1,
B0412.3,B0412.3,B0412.3.1,"0,869937","0,500925",1.736661176823,0.79631631122,,
B0412.3,B0412.3,B0412.3.2,"0,884267","0,508433",1.739200641972,0.79842437800,,
rps-29,B0412.4,B0412.4.1,"115,747","376,881",0.307118161966,-1.70313426377,,1
rps-29,B0412.4,B0412.4.2,"136,617","435,546",0.313668361092,-1.67268807925,,1
rps-29,B0412.4,B0412.4.3,"137,017","441,323",0.310468749646,-1.68748003417,,1
rps-29,B0412.4,B0412.4.4,"118,749","378,124",0.314047772688,-1.67094405750,,1
srz-4,B0414.1,B0414.1,0,"0,001683",0.000000000000,,,
rnt-1,B0414.2,B0414.2,"0,038734","0,043328",0.893962333826,-0.16171404866,,
hil-5,B0414.3,B0414.3,"9,33793","11,9012",0.784620878567,-0.34993236920,,
cpb-3,B0414.5,B0414.5,"1,42063","0,811957",1.749636988166,0.80705562509,,
glh-3,B0414.6,B0414.6,"0,686782","0,303599",2.262135250775,1.17768518918,,
mtk-1,B0414.7,B0414.7a,"0,673726","0,374822",1.797455859048,0.84595634217,,
mtk-1,B0414.7,B0414.7b,"0,678229","0,371325",1.826510469265,0.86909002302,,
B0414.8,B0414.8,B0414.8a,"0,607745","0,283259",2.145545243046,1.10134432347,,
B0414.8,B0414.8,B0414.8b,"0,602532","0,280594",2.147344561894,1.10255370394,,
B0416.1,B0416.1,B0416.1,"0,105725","0,044232",2.390237836860,1.25715417845,,
B0416.2,B0416.2,B0416.2,"0,029835","0,015286",1.951766322125,0.96478033462,,
B0416.3,B0416.3,B0416.3,"0,059003","0,064668",0.912397167069,-0.13226612770,,
B0416.4,B0416.4,B0416.4,"0,242947","0,281415",0.863305083240,-0.21205761162,,
B0416.5,B0416.5,B0416.5a.1,"3,16368","1,98405",1.594556588796,0.67315529792,,
