GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
B0403.3,B0403.3,B0403.3,"0,114123","0,216165",0.527943931719,-0.92154337312,,1
tag-320,B0403.4,B0403.4,"3,44107","4,7384",0.726209268952,-0.46154275083,,
B0403.5,B0403.5,B0403.5,"0,041134","0,02602",1.580898319350,0.66074457903,,
B0403.6,B0403.6,B0403.6,"0,089604","0,069656",1.286384316000,0.36332172195,,
B0410.1,B0410.1,B0410.1,"0,001736",0,,,,
vang-1,B0410.2,B0410.2a,"0,425978","0,449286",0.948122131560,-0.07685518424,,
vang-1,B0410.2,B0410.2b,"0,395184","0,411912",0.959389384140,-0.05981161901,,
B0410.3,B0410.3,B0410.3,"0,216185","0,381747",0.566304384841,-0.82035039437,,1
dac-1,B0412.1,B0412.1a,"0,009545","0,017949",0.531783183277,-0.91108993971,,1
dac-1,B0412.1,B0412.1b,"0,008525","0,018383",0.463746097022,-1.10859295511,,1
daf-7,B0412.2,B0412.2,"0,051695","0,075591",0.683872350390,-0.54820103388,,
B0412.3,B0412.3,B0412.3.1,"0,709823","0,810899",0.875353157422,-0.19206291146,,
B0412.3,B0412.3,B0412.3.2,"0,720864","0,825243",0.873517254918,-0.19509189336,,
rps-29,B0412.4,B0412.4.1,"209,205","99,1501",2.109982743336,1.07723119978,1,
rps-29,B0412.4,B0412.4.2,"247,471","117,018",2.114811396537,1.08052900641,1,
rps-29,B0412.4,B0412.4.3,"248,099","117,331",2.114522163793,1.08033168235,1,
rps-29,B0412.4,B0412.4.4,"214,862","101,771",2.111230114669,1.07808383458,1,
srz-4,B0414.1,B0414.1,"0,005686","0,001033",5.505455672059,2.46086197680,1,
rnt-1,B0414.2,B0414.2,"0,009761","0,006889",1.416775289217,0.50261095456,,
hil-5,B0414.3,B0414.3,"13,4778","11,9488",1.127962640600,0.17371928483,,
cpb-3,B0414.5,B0414.5,"1,65227","2,06174",0.801395908310,-0.31941295107,,
glh-3,B0414.6,B0414.6,"0,628517","0,683752",0.919217786566,-0.12152138095,,
mtk-1,B0414.7,B0414.7a,"0,523497","0,601809",0.869872334910,-0.20112441267,,
mtk-1,B0414.7,B0414.7b,"0,526048","0,606805",0.866914412373,-0.20603852698,,
B0414.8,B0414.8,B0414.8a,"0,515203","0,570976",0.902319887351,-0.14828911143,,
B0414.8,B0414.8,B0414.8b,"0,51134","0,567283",0.901384317880,-0.14978574436,,
B0416.1,B0416.1,B0416.1,"0,030035","0,038517",0.779780928471,-0.35885922450,,
B0416.2,B0416.2,B0416.2,"0,014819","0,005502",2.693680724446,1.42957886173,1,
B0416.3,B0416.3,B0416.3,"0,034077","0,020161",1.690242003085,0.75722982145,,
B0416.4,B0416.4,B0416.4,"0,377458","0,318716",1.184308287002,0.24404467745,,
B0416.5,B0416.5,B0416.5a.1,"2,54796","3,15218",0.808316783940,-0.30700729071,,
B0416.5,B0416.5,B0416.5a.2,"2,67111","3,31456",0.805871669241,-0.31137797932,,
B0416.5,B0416.5,B0416.5b,"3,17806","3,91387",0.811999376576,-0.30044947513,,
gly-13,B0416.6,B0416.6,"0,43333","0,476249",0.909881175604,-0.13624994360,,
B0416.7,B0416.7,B0416.7a,"0,261235","0,151923",1.719522389632,0.78200790109,,
B0416.7,B0416.7,B0416.7b,"0,144343","0,09243",1.561653409730,0.64307430012,,
B0432.1,B0432.1,B0432.1,"0,018317","0,025298",0.724054375625,-0.46583004882,,
B0432.10,B0432.10,B0432.10,"0,213545","0,17825",1.198008415147,0.26063804206,,
B0432.11,B0432.11,B0432.11,"0,061685","0,043019",1.433910290385,0.51995476765,,
B0432.12,B0432.12,B0432.12,"0,245471","0,137067",1.790883290653,0.84067132198,,
