wbid,intestine,head,pharynx,hypodermis,tail,vulvalmuscle,tailneurons,bodywallmusculature,vulva,ventralnervecord,nervoussystem,spermatheca,headneurons,germline
WBGene00000387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000390,1,0,0,0,1,0,0,0,1,0,0,0,0,0
WBGene00000393,1,0,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000395,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00000396,0,0,0,0,0,1,0,0,0,0,0,1,1,0
WBGene00000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000403,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000406,1,0,0,0,0,0,1,0,1,0,0,0,1,0
WBGene00000410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000413,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000415,0,0,0,0,0,1,0,1,0,0,0,0,0,0
WBGene00000417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000421,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000424,1,0,1,1,0,0,0,0,0,1,0,0,0,0
WBGene00000426,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000429,0,0,1,0,0,0,0,0,0,1,0,0,0,0
WBGene00000430,1,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000431,1,0,0,0,0,0,1,1,0,0,0,0,1,0
WBGene00000432,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000434,1,0,0,0,0,0,0,0,0,1,0,0,1,0
WBGene00000435,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000436,0,0,0,0,0,1,0,0,0,1,0,0,0,0
WBGene00000437,0,0,0,1,0,0,0,1,1,1,0,0,0,0
WBGene00000438,0,1,0,1,1,0,0,0,0,1,0,1,0,0
WBGene00000439,0,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000440,0,0,0,0,0,0,0,0,0,1,0,0,1,0
WBGene00000441,0,0,0,0,0,1,1,1,0,1,0,0,1,0
WBGene00000442,1,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000443,1,0,0,1,0,0,0,1,1,1,0,0,1,0
WBGene00000444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000445,1,0,1,0,0,0,1,0,0,1,0,0,1,0
WBGene00000446,1,0,0,0,1,0,0,0,0,0,1,0,0,0
WBGene00000447,1,0,0,0,0,1,1,0,0,1,0,0,1,0
WBGene00000448,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000449,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000451,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000452,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00000453,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000454,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000455,0,1,1,0,0,0,0,1,0,0,0,0,0,0
WBGene00000457,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000458,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000459,1,0,1,1,0,0,0,1,0,0,1,0,0,0
WBGene00000460,0,0,0,0,0,0,1,1,0,1,0,0,1,1
WBGene00000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000462,0,0,0,0,0,0,0,1,0,1,0,0,1,0
WBGene00000463,0,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000464,1,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000465,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000466,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000467,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000472,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000473,0,0,1,0,0,0,0,0,0,0,0,0,0,1
WBGene00000474,1,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000476,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000478,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00000479,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000482,0,1,1,1,1,0,0,0,1,1,0,0,0,0
WBGene00000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000484,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000490,0,1,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00000491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000492,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000497,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000498,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000500,1,0,1,0,0,0,0,1,0,0,1,0,0,1
WBGene00000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000508,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000512,1,1,0,1,1,0,0,0,0,0,0,0,0,0
WBGene00000516,1,0,1,0,0,0,0,0,0,0,1,0,0,0
