#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/19684604,Acute lymphoblastic leukemia (childhood),IKZF1,,,1.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19684604,Acute lymphoblastic leukemia (childhood),ARID5B,,,7.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19684604,Acute lymphoblastic leukemia (childhood),CEBPE,,,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),ARID5B,,,1.00E-15
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),IKZF1,,,8.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),KRTHB5,,,8.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),Intergenic,100271253,729293,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),ZNF230,,,4.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),RYR2,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),KCNE4,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),SIAT7C,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),KCNMB2,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),Intergenic,3078,10877,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),OR2C3,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),C12orf5,894,100271361,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),Intergenic,56651,64863,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),PARD3,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23512250,Acute lymphoblastic leukemia (childhood),DDC,,,2.00E-29
http://www.ncbi.nlm.nih.gov/pubmed/19684603?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Acute lymphoblastic leukemia (childhood),DDC,,,8.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23512250,Acute lymphoblastic leukemia (childhood),GRB10,,,2.00E-29
http://www.ncbi.nlm.nih.gov/pubmed/23533358,Addiction,NCK2,,,1.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23533358,Addiction,NCK2,,,2.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23533358,Addiction,NCK2,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/17099884?ordinalpos=7&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum,Addiction,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/22739583,Adiposity,LRRFIP1,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21706003,Adiposity,IRS1,57624,100847053,4.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/21706003,Adiposity,SPRY2,10253,100506925,7.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21706003,Adiposity,FTO,,,3.00E-26
http://www.ncbi.nlm.nih.gov/pubmed/19557161,Adiposity,TFAP2B,,,2.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/19557161,Adiposity,MSRA,406907,4482,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/19557161,Adiposity,LYPLAL1,100422371,643136,3.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/19557161,Adiposity,TBCE,,,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,CFH,,,1.00E-31
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,RDBP,,,2.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,ARMS2,,,8.00E-27
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,Intergenic,59342,376412,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,SKIV2L,,,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23536807,Age-related macular degeneration,KCNT2,,,1.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/23536807,Age-related macular degeneration,PLEKHA1,,,1.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/23455636,Age-related macular degeneration,ARMS2,,,4E-540
