#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,NR,80215,54026,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,NR,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,Intergenic,644659,100270915,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,NR,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,TNXB,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,DDR1,8870,100616237,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,HLA-B,,,5.00E-35
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,ZNRD1,,,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,HLA-B,,,1.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,RNF39,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,NOTCH4,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,VARS2,8870,100616237,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,HLA-A,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20041166?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,HIV-1 control,DPCR1,8870,100616237,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21811574,HIV-1 progression,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/20064070,HIV-1 progression,PROX1,100861504,5629,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21364930,HIV-1 replication,DYRK1A,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23935489,HIV-1 susceptibility,HLA-B,100507436,267016,4.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23372042,HIV-1 susceptibility,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,IL32,9235,100873863,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,NEDD9,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,AC023950.6,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,ADAM18,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,GLTSCR1,,,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,CYP7B1,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,PC,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,PRKG2,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 susceptibility,LRRC58,165829,116064,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,AL591509.5,158345,90871,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,AC009271.7,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,ZDHHC19,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,FAM174B,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,GLRX3,10539,100422867,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,BUD13,100128347,84811,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23935489,HIV-1 susceptibility,HLA-C,100507436,267016,4.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/21160409,HIV-1 susceptibility,TXNL3,10539,100422867,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,Intergenic,130827,402093,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,GALNT14,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,CMTM8,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,VEGFC,60559,7424,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,EPHA5,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,AC095058.3,100131309,2565,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,HSP90AB3P,56955,6696,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,MAD2L1,100289220,344988,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,HIST1H4A,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,AL391500.13,642443,89761,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,DNAJC5B,5150,85479,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,ZFP90,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,KB-67B5.12,644773,27093,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22174851,HIV-1 viral setpoint,AC087190.5-2,653737,2903,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/17641165?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum,HIV-1 viral setpoint,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/22628157,HIV-associated dementia,Intergenic,23266,100316867,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22628157,HIV-associated dementia,SLC8A1,,,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22628157,HIV-associated dementia,Intergenic,100506835,6387,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22628157,HIV-associated dementia,NALCN,,,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,USP3,771,9960,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,LRIG3,100271433,121227,7.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,LOC100129376,64757,3142,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,BCHE,22865,590,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,EVX1,100271006,442291,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,SNX16,389674,138046,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,MOBKL2B,56832,203228,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,CH25H,100616128,9023,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,PRICKLE1,100131905,347703,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,TBC1D4,100131189,647288,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,GNA15,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,LOC339760,2995,274,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,SH3GL2,6456,100422869,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,RPUSD4,729561,84881,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,TMTC1,100271429,10526,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20445134,Heart failure,BTG1,1634,694,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/17903304?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum,Heart failure,KIAA1598,100129998,387712,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22004137,Hepatitis B,GRIN2A,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21750111,Hepatitis B,HLA-DPA1,,,2.00E-61
http://www.ncbi.nlm.nih.gov/pubmed/21750111,Hepatitis B,HLA-DPB1,,,3.00E-54
http://www.ncbi.nlm.nih.gov/pubmed/21750111,Hepatitis B,HLA-DQB1,3119,404026,4.00E-37
http://www.ncbi.nlm.nih.gov/pubmed/21750111,Hepatitis B,HAL-DQB2,,,6.00E-28
http://www.ncbi.nlm.nih.gov/pubmed/19349983,Hepatitis B,HLA-DPB1,,,6.00E-39
http://www.ncbi.nlm.nih.gov/pubmed/22737229,Hepatitis B (viral clearance),HLA-DPA1,,,4.00E-45
http://www.ncbi.nlm.nih.gov/pubmed/22737229,Hepatitis B (viral clearance),HLA-DPB1,,,2.00E-21
http://www.ncbi.nlm.nih.gov/pubmed/22737229,Hepatitis B (viral clearance),HLA-DPA1,,,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22737229,Hepatitis B (viral clearance),HLA-DPB1,,,2.00E-17
http://www.ncbi.nlm.nih.gov/pubmed/21764829,Hepatitis B vaccine response,HLA-DR,56244,3122,7.00E-22
http://www.ncbi.nlm.nih.gov/pubmed/21764829,Hepatitis B vaccine response,HLA-DPB1,,,3.00E-12
http://www.ncbi.nlm.nih.gov/pubmed/21764829,Hepatitis B vaccine response,HLA,,,1.00E-17
http://www.ncbi.nlm.nih.gov/pubmed/23321320,Hepatitis C induced liver cirrhosis,C6orf10,,,9.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/23321320,Hepatitis C induced liver cirrhosis,BTNL2,,,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/23321320,Hepatitis C induced liver cirrhosis,Intergenic,56244,3122,1.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/23321320,Hepatitis C induced liver cirrhosis,Intergenic,56244,3122,1.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/23321320,Hepatitis C induced liver cirrhosis,Intergenic,56244,3122,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,RNF7,,,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,MERTK,,,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,TULP1,7287,646819,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,GLT8D2,,,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,LOC340515,81358,54769,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22841784,Hepatitis C induced liver fibrosis,PKD1L1,401335,80099,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22807686,Hepatocellular carcinoma,HLA-DQA1,3123,3117,5.00E-22
http://www.ncbi.nlm.nih.gov/pubmed/22807686,Hepatocellular carcinoma,GRIK1,,,5.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/22807686,Hepatocellular carcinoma,HLA_DRB1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22174901,Hepatocellular carcinoma,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/21499248,Hepatocellular carcinoma,HLA-DQ,404026,3118,6.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/21499248,Hepatocellular carcinoma,MICA,,,4.00E-13
http://www.ncbi.nlm.nih.gov/pubmed/21105107,Hepatocellular carcinoma,GLB1,1233,100131671,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21105107,Hepatocellular carcinoma,C2,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21105107,Hepatocellular carcinoma,C14orf143,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20676096,Hepatocellular carcinoma,KIF1B,,,2.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/22807686,Hepatocellular carcinoma,HLA-DRB1,3123,3117,5.00E-22
http://www.ncbi.nlm.nih.gov/pubmed/22807686,Hepatocellular carcinoma,HLA_DQA1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21499248,Hepatocellular carcinoma,HLA-DR,404026,3118,6.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/20676096,Hepatocellular carcinoma,UBE4B,,,2.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/20676096,Hepatocellular carcinoma,PGD,,,2.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/23242368,Hepatocellular carcinoma (hepatitis B virus related),STAT4,,,2.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/23242368,Hepatocellular carcinoma (hepatitis B virus related),HLA-DQ,3119,404026,3.00E-17
http://www.ncbi.nlm.nih.gov/pubmed/20520587,Heroin addiction,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,APOE,,,2.00E-33
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,TTC27,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,METTL8,9874,644166,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,CHD6,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,SLC1A7,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,F5,,,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,GCFC2,,,5.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,Intergenic,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,TLE1,7088,347127,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,LHFP,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,COL18A1,,,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,APOE,,,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,S100A5,6278,6277,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,Intergenic,1008,4479,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,SCAMP1,100462732,9522,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,ARSB,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,EFNA5,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,Intergenic,100129634,100132601,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,IKZF1,100130988,10320,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,MAGI2,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,MAL2,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,PRUNE2,,,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,RP11-232A1.1,100271078,100271235,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,Intergenic,283165,2113,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,ARID2,100129799,81539,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,CAND1,23426,121328,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,Intergenic,100130117,100419095,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,FRMD6,81115,403299,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,C20orf132,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,RPN2,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,ZBP1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,FDPSP,54051,54044,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22745009,Hippocampal atrophy,SELP,,,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,LHFPL2,100462732,9522,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19668339?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hippocampal atrophy,SFRS2IP,100129799,81539,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19196962,Hirschsprung's disease,RET,,,4.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/19196962,Hirschsprung's disease,NRG1,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/19196962,Hirschsprung's disease,GALNACT-2,,,4.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/19196962,Hirschsprung's disease,RASGEF1A,,,4.00E-18
http://www.ncbi.nlm.nih.gov/pubmed/22286212,Hodgkin's lymphoma,MICB,352961,4277,7.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/22286212,Hodgkin's lymphoma,HLA-DRA,3132,3127,4.00E-31
http://www.ncbi.nlm.nih.gov/pubmed/22286212,Hodgkin's lymphoma,ERAP1,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22286212,Hodgkin's lymphoma,IL13,,,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21037568,Hodgkin's lymphoma,REL,64895,100270953,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21037568,Hodgkin's lymphoma,HLA-DRA,3132,3127,3.00E-50
http://www.ncbi.nlm.nih.gov/pubmed/21037568,Hodgkin's lymphoma,PVT1,100302281,100500839,1.00E-13
http://www.ncbi.nlm.nih.gov/pubmed/21037568,Hodgkin's lymphoma,GATA3,,,7.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21037568,Hodgkin's lymphoma,PVT1,,,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,OXER1,57504,165140,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,131149,100287573,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,DMRT2,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,GRIK1,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,693125,645157,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,MEIS2,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,LOC390980,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,7042,127018,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,131149,100287573,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,5744,55297,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/18821565?ordinalpos=8&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Hyperactive-impulsive symptoms,Intergenic,284467,100270893,3.00E-06
